N_Folds,Gross_Sharpe,Net_Sharpe_5bps,Net_Sharpe_10bps,Net_Sharpe_20bps,Net_Sharpe_full_cost_model,Avg_Daily_Turnover_pct,Avg_Holding_Period_Days,Max_Drawdown,Cumulative_Return,seed_alpha,seed_alpha_code,llm_seed,mode
21.0,0.5227194556443784,-1.5797347429780726,-3.675612843795868,-7.808352998619938,-10.901359588763533,99.26816284180389,1.0073723249957027,-0.9999999999994508,-0.9999999999994397,volume,"rank(-1 * zscore(volume, 20))",3003,Baseline
21.0,0.2674463818988472,0.19364244785956428,0.11983886775039049,-0.027759491646749544,-0.05811962119321369,4.086280181693332,24.472134937786024,-0.5320572795659683,-0.3076532854495324,volume,"rank(-1 * zscore(volume, 20))",3003,Execution-Aware
21.0,0.8103205347010726,-0.16212200440581068,-1.1291750603506896,-3.011648556002652,-3.8816128731712936,45.93028207769466,2.177212842517322,-0.9999647016238683,-0.9999578311876774,volatility,"rank(-1 * stddev(delta(close, 1), 20))",1001,Baseline
21.0,0.4606443481559421,0.43375550298791793,0.40686417357974874,0.35307549340648336,0.325692997122012,1.4144299520544108,70.69986028983156,-0.3909312285115949,1.038301337829668,volatility,"rank(-1 * stddev(delta(close, 1), 20))",1001,Execution-Aware
21.0,0.6140214815410105,-0.3959826564541653,-1.3963134945258224,-3.3281731182945555,-4.463882392509427,48.37710942857407,2.0670933253596737,-0.9999941602192882,-0.9999928185248221,volatility,"rank(-1 * stddev(delta(close, 1), 20))",2002,Baseline
21.0,0.48743192472735203,0.46045809541850663,0.433480980486531,0.3795183431732148,0.3517809953261671,1.4048840027786664,71.18025388730587,-0.39868639278242146,1.1755871541238627,volatility,"rank(-1 * stddev(delta(close, 1), 20))",2002,Execution-Aware
21.0,0.7568493897914358,-0.4852221098619898,-1.719550022557909,-4.114104717764908,-5.662177094479049,52.63189105111263,1.8999887331216463,-0.9999981338130978,-0.9999978741052366,volatility,"rank(-1 * stddev(delta(close, 1), 20))",3003,Baseline
21.0,0.5025466136884481,0.4761514496576923,0.4497539228417771,0.3969531531978103,0.3696302016807788,1.395147237058686,71.67702257062462,-0.32875709367951644,1.305405740490801,volatility,"rank(-1 * stddev(delta(close, 1), 20))",3003,Execution-Aware
21.0,0.6357306345862572,-0.5809607545704077,-1.7938870980696635,-4.182649260754993,-5.756499274380539,63.51928550191245,1.5743250134164244,-0.9999999157444738,-0.9999999130416727,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",1001,Baseline
21.0,0.004048192831725016,-0.02357662790739155,-0.051197919437427575,-0.10642898603013984,-0.12583306799042124,1.8667885630434824,53.5679304982279,-0.7627675695356038,-0.5239244682584241,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",1001,Execution-Aware
21.0,0.39343130432819035,-0.8043165982672611,-1.9930643624190085,-4.319581655939738,-6.079401291760677,71.49734205849627,1.3986533921524522,-0.9999999989427922,-0.9999999988959724,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",2002,Baseline
21.0,0.054112028721239935,0.02658718563646113,-0.000935499774959966,-0.055973428715993846,-0.07470475021541134,1.8270716652843828,54.73239057890762,-0.7049380094828348,-0.42159664209849723,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",2002,Execution-Aware
21.0,0.6123923688887967,-1.0125910321001925,-2.626475804990921,-5.7754849128624075,-7.994193340097583,77.53028824684267,1.2898184988248431,-0.9999999993663828,-0.9999999993464368,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",3003,Baseline
21.0,0.02959838932116554,0.0018685689959358142,-0.025858648989000924,-0.08130437655783929,-0.10199549990487361,1.8410334229548329,54.317319149753075,-0.7068167683928203,-0.47300997216903506,momentum,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5))",3003,Execution-Aware
